number,bias,entangled,wave,psi
44,0.011267605633802818,0.0,0.16934406733817342,0.003591575484089165
94,0.011032863849765259,0.0,0.1693440673381746,0.0035854782948934066
69,0.00892018779342723,0.0,0.16934406733817464,0.0035306035921313815
63,0.01244131455399061,0.0,0.10492249381215496,0.0023670957120287485
13,0.01056338028169014,0.0,0.1049224938121548,0.002318318198462499
88,0.009389671361502348,0.0,0.10492249381215502,0.002287832252483599
38,0.007981220657276996,0.0,0.1049224938121549,0.002251249117308913
43,0.01244131455399061,0.0,0.08645971286271903,0.002007431148078698
68,0.012206572769953052,0.0,0.08645971286271992,0.002001333958882934
18,0.010093896713615023,0.0,0.08645971286271908,0.0019464592561208912
93,0.009389671361502348,0.0,0.08645971286271886,0.0019281676885335448
64,0.013849765258215962,0.0,0.0411226871580091,0.0011608254708239682
89,0.011032863849765259,0.0,0.04112268715800915,0.0010876592004746002
39,0.010328638497652582,0.0,0.04112268715800976,0.00106936763288727
14,0.008450704225352112,0.0,0.041122687158009374,0.0010205901193210164
17,0.011267605633802818,0.0,0.029559615522887328,0.0008685017474277482
67,0.01056338028169014,0.0,0.02955961552288744,0.0008502101798404081
42,0.009859154929577466,0.0,0.02955961552288744,0.0008319186122530659
92,0.009859154929577466,0.0,0.029559615522886773,0.0008319186122530529
65,0.011032863849765259,0.0,0.006155829702431115,0.0004064866526386647
40,0.009389671361502348,0.0,0.006155829702431115,0.0003638063282681995
90,0.00892018779342723,0.0,0.006155829702431115,0.000351611949876638
15,0.00868544600938967,0.0,0.006155829702431226,0.0003455147606808594
41,0.01056338028169014,0.0,0.0022190176984599463,0.00031760113131259994
16,0.010093896713615023,0.0,0.002219017698460002,0.00030540675292103946
91,0.009624413145539907,0.0,0.0022190176984599463,0.000293212374529477
66,0.009154929577464789,0.0,0.002219017698460113,0.00028101799613791873
