date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3
16พฤษภาคม2561,75629,29,629,201,303,570,475
2พฤษภาคม2561,248038,38,38,855,279,802,256
16เมษายน2561,739229,29,229,602,736,540,765
1เมษายน2561,412073,73,73,851,317,876,389
16มีนาคม2561,218559,59,559,820,647,202,54
2มีนาคม2561,759415,15,415,293,188,705,897
16กุมภาพันธ์2561,309915,15,915,390,73,882,307
1กุมภาพันธ์2561,26853,53,853,311,69,471,815
17มกราคม2561,203823,23,823,506,247,992,363
30ธันวาคม2560,911234,34,234,983,734,955,49
16ธันวาคม2560,955596,96,596,896,168,362,909
1ธันวาคม2560,451005,5,5,333,36,262,576
16พฤศจิกายน2560,292391,91,391,988,319,614,776
1พฤศจิกายน2560,533726,26,726,851,654,250,364
16ตุลาคม2560,413494,94,494,861,809,711,282
1ตุลาคม2560,880714,14,714,526,117,264,629
16กันยายน2560,170143,43,143,711,726,473,403
1กันยายน2560,143224,24,224,653,456,791,952
16สิงหาคม2560,715431,31,431,371,153,22,539
1สิงหาคม2560,756519,19,519,360,613,867,879
16กรกฎาคม2560,820327,27,327,875,848,353,908
1กรกฎาคม2560,112360,60,360,262,264,890,56
16มิถุนายน2560,943142,42,142,476,268,783,737
1มิถุนายน2560,53630,30,630,611,212,185,818
16พฤษภาคม2560,454891,91,891,530,83,964,906
2พฤษภาคม2560,8656,56,656,355,739,497,739
16เมษายน2560,816729,29,729,407,669,732,418
1เมษายน2560,392785,85,785,800,200,575,7
16มีนาคม2560,273863,63,863,923,249,186,949
1มีนาคม2560,978453,53,453,784,505,600,525
16กุมภาพันธ์2560,229116,16,116,141,284,643,759
1กุมภาพันธ์2560,54672,72,672,420,668,74,266
17มกราคม2560,145157,57,157,255,116,635,168
30ธันวาคม2559,377712,12,712,463,48,904,777
16ธันวาคม2559,435286,86,286,353,665,961,997
1ธันวาคม2559,86069,69,69,775,138,731,484
16พฤศจิกายน2559,858383,83,383,440,406,825,585
1พฤศจิกายน2559,785438,38,438,868,249,760,387
16ตุลาคม2559,571947,47,947,986,928,850,325
1ตุลาคม2559,887102,2,102,331,942,800,174
16กันยายน2559,240650,50,650,424,935,830,431
1กันยายน2559,638684,84,684,623,343,356,306
16สิงหาคม2559,254004,4,4,333,669,665,966
1สิงหาคม2559,272932,32,932,575,389,834,728
16กรกฎาคม2559,449764,64,764,555,527,341,589
1กรกฎาคม2559,82460,60,460,531,696,91,733
16มิถุนายน2559,73816,16,816,792,518,43,217
1มิถุนายน2559,511825,25,825,141,117,758,809
16พฤษภาคม2559,141737,37,737,983,829,750,872
2พฤษภาคม2559,399459,59,459,22,384,30,466
16เมษายน2559,221609,9,609,870,82,285,75
1เมษายน2559,66720,20,720,923,905,462,858
16มีนาคม2559,134918,18,918,328,558,770,49
1มีนาคม2559,439686,86,686,64,265,301,557
16กุมภาพันธ์2559,356364,64,364,983,126,993,95
1กุมภาพันธ์2559,927800,0,800,96,259,990,540
17มกราคม2559,304371,71,371,500,315,327,437
30ธันวาคม2558,8217,17,217,22,462,645,968
17ธันวาคม2558,930255,55,255,81,402,500,946
1ธันวาคม2558,915350,50,350,782,381,817,141
16พฤศจิกายน2558,795283,83,283,32,410,286,438
1พฤศจิกายน2558,361211,11,211,451,67,571,664
16ตุลาคม2558,968630,30,630,624,571,344,120
1ตุลาคม2558,594825,25,825,71,759,184,407
16กันยายน2558,743148,48,148,64,352,93,750
1กันยายน2558,21094,94,94,892,604,30,688
16สิงหาคม2558,33363,63,363,407,812,276,246
1สิงหาคม2558,518677,77,677,533,335,986,488
16กรกฎาคม2558,121507,7,507,497,614,618,302
1กรกฎาคม2558,759049,49,49,265,658,140,815
16มิถุนายน2558,644742,42,742,54,292,533,865
2มิถุนายน2558,388881,81,881,653,147,8,769
16พฤษภาคม2558,11421,21,421,387,994,848,519
2พฤษภาคม2558,543466,66,466,308,181,633,661
16เมษายน2558,506260,60,260,381,11,644,959
1เมษายน2558,605704,4,704,705,589,625,578
