date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3,last3_4
,536960,60,960,628,143,450,740,
,218756,56,756,127,35,836,602,
,116556,56,556,122,270,525,346,
,622953,53,953,513,901,607,804,
,351276,76,276,884,861,671,625,
,562370,70,370,466,563,468,15,
,406417,17,417,57,0,440,718,
,54136,36,136,854,219,451,335,
,825988,88,988,442,632,133,975,
,814931,31,931,17,235,840,400,
,593331,31,331,962,99,454,637,
,656037,37,37,975,443,579,263,
,481746,46,746,275,355,103,843,
,610089,89,89,555,963,611,214,
,281062,62,62,232,271,857,585,
,884112,12,112,499,361,531,869,
,334380,80,380,245,293,155,333,
,181752,52,752,96,644,704,740,
,813993,93,993,437,639,799,71,
,191100,0,100,596,539,688,17,
,621377,77,377,423,105,183,858,
,488372,72,372,20,919,960,32,
,17422,22,422,661,33,164,310,
,354656,56,656,117,845,706,560,
,911097,97,97,649,865,784,486,
,210008,8,8,107,691,827,271,
,180387,87,387,343,92,195,720,
,480239,39,239,688,934,509,189,
,500104,4,104,732,6,286,818,
,444874,74,874,813,742,989,966,
,480012,12,12,122,931,517,700,
,360371,71,371,63,820,405,176,
,211743,43,743,968,117,441,542,
,959517,17,517,221,746,634,470,
,364222,22,222,976,199,962,297,
,215227,27,227,974,576,273,744,
,133707,7,707,31,370,263,629,
,186312,12,312,149,365,776,944,
,73577,77,577,674,134,597,816,
,994304,4,304,879,933,374,195,
,685141,41,141,56,947,755,241,
,776980,80,980,599,371,884,122,
,55986,86,986,582,999,520,725,
,689140,40,140,853,669,236,424,
,258487,87,487,1,741,352,261,
,169387,87,387,62,494,357,142,
,202912,12,912,482,3,535,391,
,15865,65,865,324,354,474,469,
,462933,33,933,968,432,925,776,
,154986,86,986,926,882,394,213,
,816,16,816,940,51,773,568,
,207542,42,542,662,331,77,993,
,930456,56,456,151,250,449,541,
,777661,61,661,262,420,972,406,
,111411,11,411,543,688,383,628,
,294452,52,452,112,225,499,473,
,368415,15,415,339,541,790,75,
,816578,78,578,505,723,631,130,
,268812,12,812,362,289,294,240,
,553091,91,91,672,242,386,652,
,38730,30,730,939,619,391,154,
,534533,33,533,696,607,770,154,
,743212,12,212,252,668,8,428,
,218596,96,596,220,941,978,319,
,74114,14,114,253,57,158,39,
,205434,34,434,50,132,606,179,
,2612,12,612,200,685,898,248,
,272028,28,28,762,853,334,219,
,431277,77,277,983,245,266,446,
,882911,11,911,672,43,23,113,
,12377,77,377,563,785,345,576,
,695993,93,993,90,272,64,139,
,380377,77,377,361,614,454,577,
,850348,48,348,112,363,864,89,
,257374,74,374,413,444,14,865,
,943671,71,671,500,962,874,905,
,729111,11,111,753,393,456,398,
,414875,75,875,353,706,667,479,
,329231,31,231,691,931,203,552,
,453011,11,11,620,11,330,17,
,982800,0,800,648,25,840,430,
,12653,53,653,711,241,952,5,
,74946,46,946,330,779,740,851,
,936685,85,685,50,560,853,716,
,137054,54,54,803,445,126,308,
,212684,84,684,263,114,727,327,
,556010,10,10,814,135,489,429,
,595411,11,411,812,674,907,417,
,513501,1,501,964,254,324,607,
,113410,10,410,184,184,856,276,
,562481,81,481,731,301,987,528,
,927907,7,907,882,132,775,246,
,32988,88,988,481,586,636,858,
,430667,67,667,760,901,41,266,
,499336,36,336,452,472,736,46,
,331810,10,810,692,935,55,185,
,476207,7,207,932,342,363,124,
,429924,24,924,290,60,488,859,
,527384,84,384,771,51,833,349,
,565151,51,151,761,462,876,389,
,393194,94,194,419,899,74,245,
,836393,93,393,57,392,425,234,
,232897,97,897,259,248,587,515,
,430374,74,374,815,534,428,817,
,405105,5,105,630,139,878,665,
,622780,80,780,936,777,948,140,
,876763,63,763,851,910,19,63,
,742425,25,425,619,492,949,428,
,277859,59,859,956,256,79,793,
,769925,25,925,568,932,392,878,
,838739,39,739,552,932,638,458,
,778584,84,584,78,114,31,649,
,147977,77,977,454,396,946,471,
,270052,52,52,126,214,620,912,
,562856,56,856,945,83,76,803,
,910957,57,957,296,477,391,379,
,264825,25,825,589,30,923,588,
,952335,35,335,920,78,48,799,
,217948,48,948,419,162,908,641,
,381761,61,761,446,6,930,936,
,977486,86,486,912,213,52,301,
,238654,54,654,888,470,58,174,
,512434,34,434,489,890,985,184,
,952890,90,890,651,261,830,178,
,100935,35,935,173,814,105,952,
,810850,50,850,995,261,493,826,
,100344,44,344,713,864,638,116,
,24554,54,554,270,64,380,821,
,38564,64,564,492,104,427,698,
,738365,65,365,950,649,553,15,
,936177,77,177,304,861,852,53,
,582473,73,473,435,868,11,89,
,317009,9,9,667,842,401,352,
,412729,29,729,879,157,201,493,
,432747,47,747,792,227,899,652,
,492955,55,955,940,663,87,421,
,449565,65,565,868,21,629,589,
,388551,51,551,170,727,640,277,
,742518,18,518,805,27,418,871,
,970577,77,577,981,713,750,92,
,41072,72,72,713,469,134,102,
,766482,82,482,247,665,517,922,
,214768,68,768,104,982,821,240,
,316933,33,933,171,233,389,690,
,475560,60,560,682,728,441,39,
,961633,33,633,260,551,523,862,
,477452,52,452,137,571,504,606,
,9554,54,554,877,984,276,412,
,793070,70,70,448,60,210,746,
,176893,93,893,351,765,796,164,
,867134,34,134,973,766,484,656,
,772467,67,467,430,173,838,150,
,119327,27,327,100,819,683,466,
,815753,53,753,694,823,812,248,
,196345,45,345,30,736,17,833,
,800751,51,751,936,817,149,986,
,816422,22,422,530,863,561,920,
,540054,54,54,343,891,808,635,
,335022,22,22,86,892,910,394,
,168858,58,858,282,216,36,271,
,479372,72,372,172,880,759,991,
,504658,58,658,691,390,149,846,
,754622,22,622,649,180,197,449,
,185966,66,966,238,621,377,456,
,355858,58,858,621,622,4,388,
,110866,66,866,662,5,477,818,
,923373,73,373,592,958,887,748,
,96597,97,597,707,99,290,144,
,335921,21,921,591,140,825,592,
,868990,90,990,459,568,115,103,
,205588,88,588,256,967,264,611,
,312471,71,471,663,135,986,642,
,208713,13,713,874,149,114,599,
,614144,44,144,729,907,764,259,
,589207,7,207,134,929,925,262,
,653403,3,403,913,855,508,221,
,705832,32,832,120,89,666,347,
,196391,91,391,628,89,182,578,
,615366,66,366,697,790,944,788,
,697483,83,483,506,105,107,592,
,698002,2,2,8,773,97,980,
,216822,22,822,773,612,427,697,
,731342,42,342,960,253,579,263,
,739447,47,447,646,544,357,432,
,177947,47,947,876,768,477,355,
,991307,7,307,789,457,195,592,
,238511,11,511,681,557,675,944,
,941438,38,438,478,661,562,162,
,305500,0,500,31,90,120,844,
,912040,40,40,434,71,3,795,
,600589,89,589,539,93,569,964,
,187813,13,813,926,619,187,932,
